   optimizer    lr beta_1 beta_2  Mean_acc
1       adam 2e-02   0.85  0.990 0.7825000
2       adam 2e-03   0.85  0.990 0.8384375
3       adam 2e-04   0.85  0.990 0.8262500
4       adam 2e-02   0.90  0.990 0.7653125
5       adam 2e-03   0.90  0.990 0.8428125
6       adam 2e-04   0.90  0.990 0.8265625
7       adam 2e-02   0.95  0.990 0.6703125
8       adam 2e-03   0.95  0.990 0.8378125
9       adam 2e-04   0.95  0.990 0.8253125
10      adam 2e-02   0.85  0.999 0.6400000
11      adam 2e-03   0.85  0.999 0.8378125
12      adam 2e-04   0.85  0.999 0.8312500
13      adam 2e-02   0.90  0.999 0.6178125
14      adam 2e-03   0.90  0.999 0.8100000
15      adam 2e-04   0.90  0.999 0.8331250
16      adam 2e-02   0.95  0.999 0.7496875
17      adam 2e-03   0.95  0.999 0.8340625
18      adam 2e-04   0.95  0.999 0.8303125





