   optimizer    lr beta_1 beta_2  Mean_acc
1       adam 3e-03   0.87  0.990 0.8328125
2       adam 1e-03   0.87  0.990 0.8371875
3       adam 5e-04   0.87  0.990 0.8384375
4       adam 3e-04   0.87  0.990 0.8350000
5       adam 1e-04   0.87  0.990 0.8196875
6       adam 3e-03   0.90  0.990 0.8306250
7       adam 1e-03   0.90  0.990 0.8365625
8       adam 5e-04   0.90  0.990 0.8365625
9       adam 3e-04   0.90  0.990 0.8365625
10      adam 1e-04   0.90  0.990 0.8215625
11      adam 3e-03   0.93  0.990 0.8415625
12      adam 1e-03   0.93  0.990 0.8337500
13      adam 5e-04   0.93  0.990 0.8340625
14      adam 3e-04   0.93  0.990 0.8387500
15      adam 1e-04   0.93  0.990 0.8215625
16      adam 3e-03   0.87  0.995 0.8303125
17      adam 1e-03   0.87  0.995 0.8371875
18      adam 5e-04   0.87  0.995 0.8356250
19      adam 3e-04   0.87  0.995 0.8359375
20      adam 1e-04   0.87  0.995 0.8240625
21      adam 3e-03   0.90  0.995 0.8315625
22      adam 1e-03   0.90  0.995 0.8396875
23      adam 5e-04   0.90  0.995 0.8384375
24      adam 3e-04   0.90  0.995 0.8296875
25      adam 1e-04   0.90  0.995 0.8181250
26      adam 3e-03   0.93  0.995 0.8378125
27      adam 1e-03   0.93  0.995 0.8403125
28      adam 5e-04   0.93  0.995 0.8340625
29      adam 3e-04   0.93  0.995 0.8343750
30      adam 1e-04   0.93  0.995 0.8196875
31      adam 3e-03   0.87  0.999 0.8350000
32      adam 1e-03   0.87  0.999 0.8321875
33      adam 5e-04   0.87  0.999 0.8334375
34      adam 3e-04   0.87  0.999 0.8315625
35      adam 1e-04   0.87  0.999 0.8203125
36      adam 3e-03   0.90  0.999 0.8381250
37      adam 1e-03   0.90  0.999 0.8371875
38      adam 5e-04   0.90  0.999 0.8365625
39      adam 3e-04   0.90  0.999 0.8343750
40      adam 1e-04   0.90  0.999 0.8196875
41      adam 3e-03   0.93  0.999 0.8315625
42      adam 1e-03   0.93  0.999 0.8368750
43      adam 5e-04   0.93  0.999 0.8403125
44      adam 3e-04   0.93  0.999 0.8334375
45      adam 1e-04   0.93  0.999 0.8203125



