optimizer    lr beta_1 beta_2  Mean_acc
1       adam 3e-03   0.87  0.990 0.8328125
2       adam 1e-03   0.87  0.990 0.8371875
3       adam 5e-04   0.87  0.990 0.8384375
4       adam 3e-04   0.87  0.990 0.8350000
5       adam 1e-04   0.87  0.990 0.8196875
6       adam 3e-03   0.90  0.990 0.8306250
7       adam 1e-03   0.90  0.990 0.8365625
8       adam 5e-04   0.90  0.990 0.8365625
9       adam 3e-04   0.90  0.990 0.8365625
10      adam 1e-04   0.90  0.990 0.8215625
11      adam 3e-03   0.93  0.990 0.8401625
12      adam 1e-03   0.93  0.990 0.8337500
13      adam 5e-04   0.93  0.990 0.8340625
14      adam 3e-04   0.93  0.990 0.8387500
15      adam 1e-04   0.93  0.990 0.8215625
