   batch_size epochs  Mean_acc
1           1      5 0.8387500
2           5      5 0.8409375
3          10      5 0.8503125
4          20      5 0.8421875
5          50      5 0.8343750
6         100      5 0.8390625
7           1     10 0.8465625
8           5     10 0.8478125
9          10     10 0.8368750
10         20     10 0.8428125
11         50     10 0.8393750
12        100     10 0.8378125
13          1     20 0.8400000
14          5     20 0.8446875
15         10     20 0.8446875
16         20     20 0.8421875
17         50     20 0.8437500
18        100     20 0.8471875
