   optimizer    lr beta_1 beta_2  Mean_acc
1      nadam 3e-03   0.87  0.990 0.8381250
2      nadam 1e-03   0.87  0.990 0.8390625
3      nadam 5e-04   0.87  0.990 0.8412500
4      nadam 3e-04   0.87  0.990 0.8353125
5      nadam 1e-04   0.87  0.990 0.8156250
6      nadam 3e-03   0.90  0.990 0.8378125
7      nadam 1e-03   0.90  0.990 0.8365625
8      nadam 5e-04   0.90  0.990 0.8365625
9      nadam 3e-04   0.90  0.990 0.8343750
10     nadam 1e-04   0.90  0.990 0.8165625
11     nadam 3e-03   0.93  0.990 0.8393750
12     nadam 1e-03   0.93  0.990 0.8368750
13     nadam 5e-04   0.93  0.990 0.8396875
14     nadam 3e-04   0.93  0.990 0.8334375
15     nadam 1e-04   0.93  0.990 0.8175000
16     nadam 3e-03   0.87  0.995 0.8325000
17     nadam 1e-03   0.87  0.995 0.8346875
18     nadam 5e-04   0.87  0.995 0.8318750
19     nadam 3e-04   0.87  0.995 0.8309375
20     nadam 1e-04   0.87  0.995 0.8134375
21     nadam 3e-03   0.90  0.995 0.8337500
22     nadam 1e-03   0.90  0.995 0.8293750
23     nadam 5e-04   0.90  0.995 0.8418750
24     nadam 3e-04   0.90  0.995 0.8337500
25     nadam 1e-04   0.90  0.995 0.8171875
26     nadam 3e-03   0.93  0.995 0.8303125
27     nadam 1e-03   0.93  0.995 0.8434375
28     nadam 5e-04   0.93  0.995 0.8384375
29     nadam 3e-04   0.93  0.995 0.8278125
30     nadam 1e-04   0.93  0.995 0.8225000
31     nadam 3e-03   0.87  0.999 0.8318750
32     nadam 1e-03   0.87  0.999 0.8384375
33     nadam 5e-04   0.87  0.999 0.8393750
34     nadam 3e-04   0.87  0.999 0.8290625
35     nadam 1e-04   0.87  0.999 0.8203125
36     nadam 3e-03   0.90  0.999 0.8337500
37     nadam 1e-03   0.90  0.999 0.8384375
38     nadam 5e-04   0.90  0.999 0.8378125
39     nadam 3e-04   0.90  0.999 0.8346875
40     nadam 1e-04   0.90  0.999 0.8193750
41     nadam 3e-03   0.93  0.999 0.8362500
42     nadam 1e-03   0.93  0.999 0.8350000
43     nadam 5e-04   0.93  0.999 0.8318750
44     nadam 3e-04   0.93  0.999 0.8356250
45     nadam 1e-04   0.93  0.999 0.8125000


