optimizer    lr beta_1 beta_2  Mean_acc
1      nadam 3e-03   0.87  0.990 0.8381250
2      nadam 1e-03   0.87  0.990 0.8390625
3      nadam 5e-04   0.87  0.990 0.8412500
4      nadam 3e-04   0.87  0.990 0.8353125
5      nadam 1e-04   0.87  0.990 0.8156250
6      nadam 3e-03   0.90  0.990 0.8378125
7      nadam 1e-03   0.90  0.990 0.8365625
8      nadam 5e-04   0.90  0.990 0.8365625
9      nadam 3e-04   0.90  0.990 0.8343750
10     nadam 1e-04   0.90  0.990 0.8165625
11     nadam 3e-03   0.93  0.990 0.8393750
12     nadam 1e-03   0.93  0.990 0.8368750
13     nadam 5e-04   0.93  0.990 0.8396875
14     nadam 3e-04   0.93  0.990 0.8334375
15     nadam 1e-04   0.93  0.990 0.8175000
