   l1_coeff l2_coeff optimizer    lr rho  Mean_acc
1     1e-02    1e-02   rmsprop 0.003 0.9 0.5000000
2     1e-03    1e-02   rmsprop 0.003 0.9 0.8378125
3     1e-04    1e-02   rmsprop 0.003 0.9 0.8387500
4     1e-05    1e-02   rmsprop 0.003 0.9 0.8290625
5     1e-06    1e-02   rmsprop 0.003 0.9 0.8412500
6     0e+00    1e-02   rmsprop 0.003 0.9 0.8400000
7     1e-02    1e-03   rmsprop 0.003 0.9 0.7315625
8     1e-03    1e-03   rmsprop 0.003 0.9 0.8368750
9     1e-04    1e-03   rmsprop 0.003 0.9 0.8443750
10    1e-05    1e-03   rmsprop 0.003 0.9 0.8446875
11    1e-06    1e-03   rmsprop 0.003 0.9 0.8478125
12    0e+00    1e-03   rmsprop 0.003 0.9 0.8453125
13    1e-02    1e-04   rmsprop 0.003 0.9 0.6568750
14    1e-03    1e-04   rmsprop 0.003 0.9 0.8412500
15    1e-04    1e-04   rmsprop 0.003 0.9 0.8450000
16    1e-05    1e-04   rmsprop 0.003 0.9 0.8525000
17    1e-06    1e-04   rmsprop 0.003 0.9 0.8496875
18    0e+00    1e-04   rmsprop 0.003 0.9 0.8475000
19    1e-02    1e-05   rmsprop 0.003 0.9 0.7271875
20    1e-03    1e-05   rmsprop 0.003 0.9 0.8468750
21    1e-04    1e-05   rmsprop 0.003 0.9 0.8450000
22    1e-05    1e-05   rmsprop 0.003 0.9 0.8496875
23    1e-06    1e-05   rmsprop 0.003 0.9 0.8450000
24    0e+00    1e-05   rmsprop 0.003 0.9 0.8475000
25    1e-02    1e-06   rmsprop 0.003 0.9 0.8081250
26    1e-03    1e-06   rmsprop 0.003 0.9 0.8412500
27    1e-04    1e-06   rmsprop 0.003 0.9 0.8512500
28    1e-05    1e-06   rmsprop 0.003 0.9 0.8440625
29    1e-06    1e-06   rmsprop 0.003 0.9 0.8437500
30    0e+00    1e-06   rmsprop 0.003 0.9 0.8431250
31    1e-02    0e+00   rmsprop 0.003 0.9 0.6596875
32    1e-03    0e+00   rmsprop 0.003 0.9 0.8431250
33    1e-04    0e+00   rmsprop 0.003 0.9 0.8443750
34    1e-05    0e+00   rmsprop 0.003 0.9 0.8428125
35    1e-06    0e+00   rmsprop 0.003 0.9 0.8446875
36    0e+00    0e+00   rmsprop 0.003 0.9 0.8481250


