  optimizer    lr momentum  Mean_acc
1        sgd 1e-01     0.99 0.5000000
2        sgd 1e-02     0.99 0.5000000
3        sgd 1e-03     0.99 0.5787500
4        sgd 1e-04     0.99 0.6303125
5        sgd 1e-01     0.95 0.5000000
6        sgd 1e-02     0.95 0.5000000
7        sgd 1e-03     0.95 0.7028125
8        sgd 1e-04     0.95 0.7946875
9        sgd 1e-01     0.90 0.5000000
10       sgd 1e-02     0.90 0.4815625
11       sgd 1e-03     0.90 0.7315625
12       sgd 1e-04     0.90 0.7796875
13       sgd 1e-01     0.85 0.5000000
14       sgd 1e-02     0.85 0.5000000
15       sgd 1e-03     0.85 0.8171875
16       sgd 1e-04     0.85 0.7537500
