   optimizer    lr momentum  Mean_acc
1        sgd 1e-03     0.90 0.8312500
2        sgd 5e-04     0.90 0.8090625
3        sgd 1e-04     0.90 0.7840625
4        sgd 5e-05     0.90 0.7378125
5        sgd 1e-05     0.90 0.4940625
6        sgd 1e-03     0.87 0.8106250
7        sgd 5e-04     0.87 0.8096875
8        sgd 1e-04     0.87 0.7500000
9        sgd 5e-05     0.87 0.7193750
10       sgd 1e-05     0.87 0.5640625
11       sgd 1e-03     0.85 0.6025000
12       sgd 5e-04     0.85 0.8140625
13       sgd 1e-04     0.85 0.7709375
14       sgd 5e-05     0.85 0.6990625
15       sgd 1e-05     0.85 0.5643750




